S/NO,County,Subcounty,Education zone,,,School Name/Learning Institution,GPS Cordinate (Latitudes),GPS Cordinate (Longtitudes),Type of school2_Boys; Girls; Mixed,TSC Code,KNEC Code,MOE Code/ Nemis Code,Sponsor, Land area_ acres,"Level_ Pre primary, Primary, Secondary, Special needs, technical colleges,  Diploma Teacher colleges, Certificate Teacher colleges,  University","Type of school1_ Public, Private, Informal","Type of school1_ Public, Private, Informal","Registered, Not registered",,Type of school3_Day; Boarding; Both,"Type of school4_Regular, Integrated, Special Needs School",Enrolment,,,TSC Teachers,,County government (e.g. for Pre primary),,BOM/PTA,,"Total Human resources (Teaching staff , Tsc, BOM/PTA, County)",,,Human resources: Curriculum support, Human resources: Non-Teaching staff,"Infrastructure ( No of classrooms, Labs, Boys toilets, Girls Toilets)",,,,,,,,KCPE (for primary),KCSE (Secondary),PRINCIPALS'CONTACTS 
,,,,Constituency,Ward,,,,,,,,,,,,,,,,,Boys,Girls,Total,Male,female,Male,female,Male,female,TSC,BOM/PTA,Total,,,Classrooms: Permanent,temporary,Laboratories: Permanent,temporary,Boys Toilets: Permanent,temporary,Girls Toilets: Permanent,temporary,,,
368,MAKUENI,NZAUI,Kalamba,Makueni,Kalamba,Gigiri Lions boys,-1.934114,37.494253,Boys,3107,18324304,MDN6,CATHOLIC,2.5 Ha,Secondary,Public,Public,Registered,,Day and boarding,Regular,21,0,21,7,0,0,0,3,0,7,3,10,"Subcounty,school auditors",3,4,0,1,0,8,0,0,0,N/A,4.3142,722336013
369,MAKUENI,NZAUI,Kalamba,Makueni,Kalamba,Gigiri Lions Girls,-1.939808,37.494053,Girls,3325,18324303,VEUL,CATHOLIC,14.6,Secondary,Public,Public,Registered,,Boarding,Regular,0,35,35,6,4,0,0,1,0,10,1,11,"SCDE,AUDITORS",1,5,0,1,0,0,0,12,0,N/A,4.1515,727744095
370,MAKUENI,NZAUI,ITHUMBA,Kibwezi west,Nguu/Masumba,good shepherd,-2.049033,37.573015,Girls,3113,18324103,9YEF,Catholic church,1.2,Secondary,Public,Public,Registered,,Boarding,Regular,,140,140,10,8,0,0,3,6,18,9,27,"CEMASTEA,CATHOLIC CHURCH",11,12,0,4,0,0,0,29,0,N/A,5.1554,721574581
371,MAKUENI,NZAUI,Kalamba,Makueni,Kalamba,Kalaani,-1.910732,37.524244,Mixed,3214,18324307,BT3E,AIC,6.8,Secondary,Public,Public,Registered,,Day and boarding,Regular,5,18,23,4,3,0,0,1,2,7,3,10,"Moe,Tsc",3,4,0,1,0,4,0,8,0,N/A,4.0476,721439979
372,MAKUENI,NZAUI,Kalamba,Makueni,Kalamba,Kalamba,-1.868512,37.50968,Mixed,3027,18324302,NZ7W,AIC,8,Secondary,Public,Public,Registered,,Day and boarding,Regular,17,9,26,4,4,0,0,1,1,8,2,10,"Subcounty qaso,cqaso",2,4,0,2,0,2,0,2,0,N/A,3.7241,720355968
373,MAKUENI,NZAUI,MUTYAMBUA,Makueni,Mbitini,kavuthu,-2.003517,37.42455,Mixed,14701-404-3361,18324226,SQ9G,D.E.B,1.5,Secondary,Public,Public,Registered,,Day and boarding,Regular,17,12,29,6,2,0,0,2,1,8,3,11,Cqaso,3,5,0,0,0,6,0,8,0,N/A,2.86,721758636
374,MAKUENI,NZAUI,Matiliku,Makueni,Kilili/Kalamba,Kawala,-1.953385,37.585168,Mixed,3097,18324310,H9M3,Catholic,2.8,Secondary,Public,Public,Registered,,Day and boarding,Regular,29,30,59,7,5,0,0,2,0,12,2,14,Tsc,2,6,0,2,0,10,0,10,0,N/A,3.0204,722430211
375,MAKUENI,NZAUI,Matiliku,Makueni,Kilili/Kalamba,Kiilili,-1.901801,37.583099,Mixed,3139,18324305,L8KP,AIC,,Secondary,Public,Public,Registered,,Day and boarding,Regular,37,30,67,,,,,,,,,,,3,8,0,2,0,10,0,8,0,N/A,3.186,722892803
376,MAKUENI,NZAUI,ITHUMBA,Kibwezi west,Nguu/Masumba,kikumini,-2.048933,37.584733,Boys,3021,18324101,LSQV,AIC,5.6,Secondary,Public,Public,Registered,,Boarding,Regular,67,,67,7,1,0,0,1,4,8,5,13,,5,10,0,3,0,12,0,0,0,N/A,3.8627,721635908
377,MAKUENI,NZAUI,Mulala,Kibwezi west,Mulala/Emali,Kiliku mixed,-2.051861,37.480743,Mixed,3177,18324216,RWDAQ9,AIC-KENYA,2.4,Secondary,Public,Public,Registered,,Day and boarding,Regular,17,40,57,3,7,0,0,3,1,10,4,14,Moe,4,8,0,1,0,5,0,12,0,N/A,3.8333,711434939
378,MAKUENI,NZAUI,Kalamba,Makueni,Kalamba,Kithumba,-1.908639,37.499528,Mixed,9326,18324306,CBZU,AIC,2.5,Secondary,Public,Public,Registered,,Day and boarding,Regular,62,58,120,10,5,0,0,2,2,15,4,9,Scqaso,5,8,0,3,0,8,0,8,0,N/A,4.9014,722611506
379,MAKUENI,NZAUI,Matiliku,Makueni,Kilili/Kalamba,Kyangwasi,-1.93982,37.555089,Mixed,N/A,N/A,M6SC,C.E.B,,Secondary,Public,Public,Registered,,Day,Regular,8,4,12,2,0,0,0,1,4,2,5,7,"Tsc,Moe",5,2,2,0,0,2,0,4,0,N/A,NEW,726108295
380,MAKUENI,NZAUI,Kyemundu,Makueni,Mbitini,Kyemundu,-1.978437,37.468384,Mixed,14701-17-3074,18324204,549U,CATHOLIC,3,Secondary,Public,Public,Registered,,Day and boarding,Regular,20,20,40,9,4,0,0,0,0,13,0,13,Moe,0,8,0,2,0,12,0,16,0,N/A,4.9473,724972476
381,MAKUENI,NZAUI,MUTYAMBUA,Makueni,Mbitini,Kyumbuni,-1.978858,37.431765,Mixed,3046,18324208,6KAM,S.A,1.3,Secondary,Public,Public,Registered,,Day and boarding,Regular,17,24,41,6,2,0,0,1,1,8,2,10,"Cqaso,School auditors,public workers",4,5,0,1,0,8,0,8,0,N/A,2.6428,721277703
382,MAKUENI,NZAUI,Kyemundu,Makueni,Mbitini,Manooni,-1.947017,37.459969,Mixed,3126,18324211,TT2V,Luther,1.1,Secondary,Public,Public,Registered,,Day and boarding,Regular,43,60,103,9,3,0,0,2,3,12,5,17,"Tsc,Moe,Kssha",8,9,0,1,0,12,0,12,0,N/A,5.252,720335815
383,MAKUENI,NZAUI,MUTYAMBUA,Makueni,Mbitini,Masue,0,0,Mixed,3283,18324223,3FU2,AIC,1.5,Secondary,Public,Public,Registered,,Day and boarding,Regular,15,25,40,3,5,0,0,0,1,8,1,9,Cqaso,4,4,0,0,0,3,0,3,0,N/A,3.4736,722306639
384,MAKUENI,NZAUI,ITHUMBA,Kibwezi west,Nguu/Masumba,masumba,-2.024451,37.625,Mixed,3259,18324108,PSV4,AIC,4,Secondary,Public,Public,Registered,,Day and boarding,Regular,33,30,63,4,2,0,0,5,0,6,5,11,"Moe,Tsc",5,6,0,1,0,5,0,5,0,N/A,3.2153,720172760
385,MAKUENI,NZAUI,Matiliku,Makueni,Kilili/Kalamba,Matha,-1.932768,37.52051,Mixed,3343,19324315,UDU4,DEB,1 Ha,Secondary,Public,Public,Registered,,Day,Regular,7,9,16,5,2,0,0,2,0,7,2,9,Cso,3,0,4,0,0,4,0,4,0,N/A,3,725921101
386,MAKUENI,NZAUI,Mulala,Kibwezi west,Mulala/Emali,Matiku,-2.018573,37.464881,Mixed,3244,18324217,AD4D,CATHOLIC,0.5,Secondary,Public,Public,Registered,,Day and boarding,Regular,44,35,79,8,7,0,0,6,0,15,6,21,"Tsc,moe",6,10,0,1,0,12,0,9,0,N/A,6.0735,710493103
387,MAKUENI,NZAUI,Matiliku,Makueni,Kilili/Kalamba,Matiliku,-1.965052,37.531982,Boys,14701-404,18324301,ZDJQ,AIC,7,Secondary,Public,Public,Registered,,Boarding,Regular,217,0,217,13,11,0,0,6,0,24,6,30,,6,17,0,3,0,24,0,0,0,N/A,6.2452,722298424
388,MAKUENI,NZAUI,Mweini,Kibwezi west,Nguu/Masumba,Matutu,-2.119754,37.633284,Mixed,3301,18324110,T2VT,Catholic,6,Secondary,Public,Public,Registered,,Day,Regular,21,11,32,4,3,0,0,2,1,7,3,10,"dqaso,scde,knec",3,5,0,1,0,2,0,6,0,N/A,2.8437,0711100552
389,MAKUENI,NZAUI,Kalamba,Makueni,Kalamba,Maumba,-1.847773,37.491116,Mixed,9380,18324308,XPS8,A.I.C,2.2,Secondary,Public,Public,Registered,,Day and boarding,Regular,31,45,76,6,8,0,0,0,0,14,0,14,"Moe,Tsc",2,6,0,1,0,10,0,12,0,N/A,4.5606,710493103
390,MAKUENI,NZAUI,Kyemundu,Makueni,Mbitini,Mbeletu,-1.980494,37.498029,Mixed,304-3174,18324215,XBX3,C.E.B,8.3,Secondary,Public,Public,Registered,,Day,Regular,12,17,29,6,2,0,0,2,1,8,3,11,"Tsc,Moe",3,6,0,0,0,4,0,4,0,N/A,3.6666,722911481
391,MAKUENI,NZAUI,MUTYAMBUA,Makueni,Mbitini,Mbuthani ,-2.021614,37.442181,Mixed,3028,18324203,Yxwk,Catholic,0.16,Secondary,Public,Public,Registered,,Day and boarding,Regular,27,25,52,9,4,0,0,0,0,13,0,13,"Cqaso,school auditors",0,12,0,1,0,8,0,8,0,N/A,4.26,721554461
392,MAKUENI,NZAUI,ITHUMBA,Kibwezi west,Nguu/Masumba,mii,-1.972473,37.627319,Mixed,2035,18324104,B67M,CEB,4.8 ha,Secondary,Public,Public,Registered,,Day and boarding,Regular,12,25,37,4,3,0,0,1,2,7,3,10,"Tsc,Moe",3,4,0,1,0,5,0,9,0,N/A,3.3243,715272141
393,MAKUENI,NZAUI,Kyemundu,Makueni,Mbitini,Muambwani,-1.903569,37.455045,Mixed,14701-404,18324209,XEAQ,Lutheran ,3.1,Secondary,Public,Public,Registered,,Day and boarding,Regular,24,30,54,6,2,0,0,2,1,8,3,11,"Tsc,Moe",3,5,0,1,0,8,0,10,0,N/A,4.409,729176928
394,MAKUENI,NZAUI,ITHUMBA,Kibwezi west,Nguu/Masumba,muangeni mixed,-2.39582,38.205898,Mixed,3380,18324115,C4kx,GNCA,3,Secondary,Public,Public,Registered,,Day,Regular,18,18,36,5,2,0,0,1,1,7,2,9,"Cqaso,Tsc",3,4,0,0,0,3,0,3,0,N/A,2.4666,723724420
396,MAKUENI,NZAUI,Mulala,Kibwezi west,Mulala/Emali,Mulala Girls,-2.010245,37.488684,Girls,3014,324201,2WUS,Catholic,5.6 Ha,Secondary,Public,Public,Registered,,Boarding,Regular,0,120,120,5,12,0,0,5,5,17,10,27,"Moe,Tsc",10,13,0,4,0,0,0,24,0,N/A,6.3833,0722611506
397,MAKUENI,NZAUI,Kyemundu,Makueni,Mbitini,Mungyani,-1.931718,37.424052,Mixed,3202,18324213,2LUB,A.I.C,3,Secondary,Public,Public,Registered,,Day and boarding,Regular,9,21,30,7,1,0,0,2,1,8,3,11,"Tsc,Moe,Kssha",3,4,0,1,0,4,0,6,0,N/A,4.6563,715588335
398,MAKUENI,NZAUI,MUTYAMBUA,Makueni,Mbitini,Mutaiti,-1.99502,37.415993,Boys,3222,18324220,TUXZ,SALVATION ARMY,1.4,Secondary,Public,Public,Registered,,Day and boarding,Regular,106,0,106,12,6,0,0,4,0,18,4,22,"County quality assurance,auditors",5,12,0,2,0,9,0,0,0,N/A,4.7073,723476823
399,MAKUENI,NZAUI,MUTYAMBUA,Makueni,Mbitini,Mutanda girls,-1.977897,37.452857,Girls,3328,18324225,ZP7K,CEB,3.8,Secondary,Public,Public,Registered,,Boarding,Regular,0,75,75,3,3,0,0,5,4,6,9,15,"CSO,SCDE,TSC",9,8,0,1,0,0,0,18,0,N/A,3.6923,722561368
400,MAKUENI,NZAUI,Mweini,Kibwezi west,Nguu/Masumba,Mweini,-2.069845,37.686705,Mixed,3099,18324102,SFSC,CATHOLIC,9.6,Secondary,Public,Public,Registered,,Day and boarding,Regular,20,18,38,5,4,0,0,4,1,9,5,14,CSO,5,7,0,2,0,6,0,6,0,N/A,3.9333,0720355968
401,MAKUENI,NZAUI,ITHUMBA,Kibwezi west,Nguu/Masumba,ndunguni,-2.088561,37.585393,Mixed,14701,18324113,8XSE,CEB,2.2,Secondary,Public,Public,Registered,,Day ,Regular,8,7,15,4,3,0,1,1,1,7,2,9,Subcounty,2,4,0,0,0,2,0,2,0,N/A,2.125,720433788
402,MAKUENI,NZAUI,Kalamba,Makueni,Kalamba,Nduumoni,-1.887595,37.482436,Mixed,3330,18324317,9BL7,D.E.B,2.5,Secondary,Public,Public,Registered,,Day,Regular,16,26,42,4,4,0,0,2,1,8,4,12,"Moe,Tsc",4,6,0,1,0,3,0,4,0,N/A,4.1563,720572417
403,MAKUENI,NZAUI,Mulala,Kibwezi west,Mulala/Emali,Nduundune,-2.040662,37.501757,Mixed,3062,18324202,x282,aic,14,Secondary,Public,Public,Registered,,Day and boarding,Regular,49,40,89,11,7,0,0,10,2,18,12,30,"CSO,SCDE,TSC",2,9,0,1,0,6,0,10,0,N/A,4.2959,722336013
404,MAKUENI,NZAUI,Mulala,Kibwezi west,Mulala/Emali,Ndwaani ,-1.998667,37.523968,Mixed,3144,18324212,G62D,DEB,1/2 Ha,Secondary,Public,Public,Registered,,Day and boarding,Regular,12,16,28,5,1,0,0,2,1,6,3,9,Scqaso,3,4,0,1,0,4,0,8,0,N/A,2.4042,728309193
405,MAKUENI,NZAUI,Kyemundu,Makueni,Mbitini,Ngoto,-1.992893,37.45958,Boys,3030,18324205,4MSG,AIC,2.5,Secondary,Public,Public,Registered,,Boarding,Regular,171,0,171,20,4,0,0,8,2,24,10,34,"CQASO,TSC",11,,,2,0,12,0,0,0,N/A,7.0725,736803391
406,MAKUENI,NZAUI,Mweini,Kibwezi west,Nguu/Masumba,Nguu,-2.109838,37.537964,Mixed,3242,18324106,96MA,GNCA,4,Secondary,Public,Public,Registered,,Day and boarding,Regular,49,43,92,4,3,0,0,3,3,7,6,13,"CQASO,CSO,BOM",6,10,0,1,0,7,0,5,0,N/A,4.1758,0728309193
407,MAKUENI,NZAUI,MUTYAMBUA,Makueni,Mbitini,Serena Williams Matooni,-1.956294,37.444401,Mixed,3246,18324221,NFAH,DEB,1,Secondary,Public,Public,Registered,,Day and boarding,Regular,11,20,31,5,4,0,0,2,0,9,2,11,Cqaso,3,5,0,1,0,4,0,3,0,N/A,3.387,711993165
408,MAKUENI,NZAUI,Matiliku,Makueni,Kilili/Kalamba,Serena Williams Wee,-1.926981,37.587371,Mixed,404-32650,18324313,9QBU,CATHOLIC CHURCH,2.48,Secondary,Public,Public,Registered,,Day and boarding,Regular,14,11,25,5,3,0,0,2,1,8,3,11,"Tsc,Moe,Moh",3,6,0,1,0,6,0,11,0,N/A,3.8478,711373314
409,MAKUENI,NZAUI,Kyemundu,Makueni,Mbitini,ST Francis of Assiss Kaliini,-2.01756,37.493519,Mixed,14701-17-3365,18324227,CSAT,CATHOLIC CHURCH,1.6,Secondary,Public,Public,Registered,,Day and boarding,Regular,29,23,52,4,3,0,0,2,0,7,2,9,"Tsc,Moe,Moh",2,4,0,1,0,5,0,8,0,N/A,4.4419,723226381
410,MAKUENI,NZAUI,Mulala,Kibwezi west,Mulala/Emali,St Joseph TUTINI,-2.054283,37.536512,Mixed,3049,18324207,SNN3,CATHOLIC,1.7,Secondary,Public,Public,Registered,,Day and boarding,Regular,26,16,39,9,5,0,0,1,1,14,2,16,"Cqaso,Tsc",2,8,0,1,0,14,0,14,0,N/A,3.6779,711100552
411,MAKUENI,NZAUI,ITHUMBA,Kibwezi west,Nguu/Masumba,St marys itaava,-2.008211,37.587301,Mixed,14701_17_3196,18324107,TZL4 ,Catholic,3,Secondary,Public,Public,Registered,,Day and boarding,Regular,35,30,65,9,3,0,0,2,1,12,3,15,"Cso,oaso",3,8,0,0,0,8,0,10,0,N/A,2.9775,720812599
412,MAKUENI,NZAUI,Kalamba,Makueni,Kalamba,St Theresa,-1.867856,37.509719,Boys,3344,18324316,G65A,Catholic,1,Secondary,Public,Public,Registered,,Day and boarding,Regular,29,28,57,5,3,0,0,3,0,8,3,11,"Moe,Tsc",3,6,0,0,0,3,0,6,0,N/A,3,700586403
413,MAKUENI,NZAUI,Mweini,Kibwezi west,Nguu/Masumba,St.Anthony,-2.074566,37.645474,Mixed,3274,18324109,TF3J,CATHOLIC,1.8,Secondary,Public,Public,Registered,,Day and boarding,Regular,25,26,41,6,3,0,0,2,1,9,3,12,"TSC ,KNEC,CEMASTEA",3,3,1,1,0,10,0,10,0,N/A,2.5555,0711434939
414,MAKUENI,NZAUI,Matiliku,Makueni,Kilili/Kalamba,ST.Mary Ndovea,-1.959997,37.554632,Mixed,3233,18324311,AR5Y,DEB,3.5,Secondary,Public,Public,Registered,,Day and boarding,Regular,22,47,69,6,6,0,0,3,2,12,5,17,"Cqaso,County Auditor",5,8,1,1,0,8,0,10,0,N/A,4.3867,725838227
415,MAKUENI,NZAUI,Mweini,Kibwezi west,Nguu/Masumba,Thithi,-2.151327,37.599224,Mixed,9282,18324105,559V,Catholic,15,Secondary,Public,Public,Registered,,Day and boarding,Regular,26,22,48,2,4,0,0,3,1,6,4,10,"TSC,MOE",4,5,0,1,0,8,0,8,0,N/A,3.0689,727744095
416,MAKUENI,NZAUI,ITHUMBA,Kibwezi west,Nguu/Masumba,Utini girls,-2.119748,37.58463,Girls,3332,18324113       CJ7J,,CEB,4.2,Secondary,Public,Public,Registered,,Boarding,Regular,,119,119,3,4,0,0,6,4,7,10,17,"Cqaso,Tsc,Moe",10,10,0,1,0,0,0,2,0,N/A,4.8,724610004
417,MAKUENI,NZAUI,Mweini,Kibwezi west,Nguu/Masumba,Vololo,-2.114711,37.6891,Mixed,404-3373,18324114,6WJN,CEB,12,Secondary,Public,Public,Registered,,Day,Regular,14,13,27,5,4,0,0,0,2,9,2,11,"cso,sdoe",2,3,0,0,0,1,0,1,0,N/A,2.5,0721439979
418,MAKUENI,NZAUI,MUTYAMBUA,Makueni,Mbitini,vulueni,-1.981066,37.410148,Mixed,3195,18324214,ZSKH,AIC,1.4,Secondary,Public,Public,Registered,,Day and boarding,Regular,31,66,97,14,4,0,0,0,0,18,0,18,"CQASO,MOE",1,8,0,1,0,15,0,16,0,N/A,3.6629,723973202
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
